optimizer,opt_level,value_index,num_qubits,topology,strategy,sample,depth
Qiskit,1,0,18,Auckland,precision,14,154
Qiskit,1,0,18,Auckland,precision,15,143
Qiskit,1,0,18,Auckland,precision,16,150
Qiskit,1,0,18,Auckland,precision,17,169
Qiskit,1,0,18,Auckland,precision,18,177
Qiskit,1,0,18,Auckland,precision,19,153
Qiskit,1,0,18,Washington,predicates,0,157
Qiskit,1,0,18,Washington,predicates,1,171
Qiskit,1,0,18,Washington,predicates,2,133
Qiskit,1,0,18,Washington,predicates,3,176
Qiskit,1,0,18,Washington,predicates,4,172
Qiskit,1,0,18,Washington,predicates,5,181
Qiskit,1,0,18,Washington,predicates,6,158
Qiskit,1,0,18,Washington,predicates,7,175
Qiskit,1,0,18,Washington,predicates,8,177
Qiskit,1,0,18,Washington,predicates,9,175
Qiskit,1,0,18,Washington,predicates,10,193
Qiskit,1,0,18,Washington,predicates,11,137
Qiskit,1,0,18,Washington,predicates,12,175
Qiskit,1,0,18,Washington,predicates,13,135
Qiskit,1,0,18,Washington,predicates,14,152
Qiskit,1,0,18,Washington,predicates,15,172
Qiskit,1,0,18,Washington,predicates,16,182
Qiskit,1,0,18,Washington,predicates,17,178
Qiskit,1,0,18,Washington,predicates,18,186
Qiskit,1,0,18,Washington,predicates,19,166
Qiskit,1,0,18,Washington,precision,0,209
Qiskit,1,0,18,Washington,precision,1,174
Qiskit,1,0,18,Washington,precision,2,176
Qiskit,1,0,18,Washington,precision,3,157
Qiskit,1,0,18,Washington,precision,4,153
Qiskit,1,0,18,Washington,precision,5,145
Qiskit,1,0,18,Washington,precision,6,183
Qiskit,1,0,18,Washington,precision,7,162
Qiskit,1,0,18,Washington,precision,8,160
Qiskit,1,0,18,Washington,precision,9,158
Qiskit,1,0,18,Washington,precision,10,153
Qiskit,1,0,18,Washington,precision,11,162
Qiskit,1,0,18,Washington,precision,12,178
Qiskit,1,0,18,Washington,precision,13,143
Qiskit,1,0,18,Washington,precision,14,158
Qiskit,1,0,18,Washington,precision,15,173
Qiskit,1,0,18,Washington,precision,16,171
Qiskit,1,0,18,Washington,precision,17,167
Qiskit,1,0,18,Washington,precision,18,171
Qiskit,1,0,18,Washington,precision,19,158
