index,bitstring,energy,prob
411,101110010001111101,122.75,0.0009765625
412,000111111000100011,122.75,0.0009765625
413,111100001101101011,122.75,0.0009765625
414,011110000010100111,122.75,0.0009765625
415,001011110010100111,122.75,0.0009765625
416,101100010101110111,122.75,0.0009765625
417,010000110011110111,122.75,0.0009765625
418,001100101111110111,122.75,0.0009765625
419,110110101001111111,122.75,0.0009765625
420,101011110000010000,123.0,0.0009765625
421,001010111100010000,123.0,0.0009765625
422,100001110101001000,123.0,0.0009765625
423,011011010000011000,123.0,0.0009765625
424,100100111011011000,123.0,0.0009765625
425,000010101110000100,123.0,0.0009765625
426,100010101101000100,123.0,0.0009765625
427,100111110000010100,123.0,0.0009765625
428,011001010010010100,123.0,0.0009765625
429,010011000101010100,123.0,0.0009765625
430,111110000011011100,123.0,0.0009765625
431,010010101110001010,123.0,0.0009765625
432,100111011000000110,123.0,0.0009765625
433,100001010011010110,123.0,0.0009765625
434,110000101111011110,123.0,0.0009765625
435,100010001010001001,123.0,0.0009765625
436,010000011100010101,123.0,0.0009765625
437,110010111100001101,123.0,0.0009765625
438,000000011111000011,123.0,0.0009765625
439,111011100111111000,133.0,0.0009765625
440,101011011000100100,133.0,0.0009765625
441,110001010001110100,133.0,0.0009765625
442,001110111001101100,133.0,0.0009765625
443,110011010101101100,133.0,0.0009765625
444,011110110100111100,133.0,0.0009765625
445,001001101010100010,133.0,0.0009765625
446,011101111110100010,133.0,0.0009765625
447,111011001101101010,133.0,0.0009765625
448,000101100111101010,133.0,0.0009765625
449,011100010110111010,133.0,0.0009765625
450,001001111011111010,133.0,0.0009765625
451,001111110101100110,133.0,0.0009765625
452,001011101001110110,133.0,0.0009765625
453,001001110101110110,133.0,0.0009765625
454,010110011101110110,133.0,0.0009765625
455,000001011101110110,133.0,0.0009765625
456,110101011100101110,133.0,0.0009765625
457,010101000110101110,133.0,0.0009765625
458,101001110001101110,133.0,0.0009765625
459,000101101110111110,133.0,0.0009765625
460,100111000101100001,133.0,0.0009765625
461,011010110111100001,133.0,0.0009765625
462,001010110010110001,133.0,0.0009765625
463,001000101111110001,133.0,0.0009765625
464,101011110010101001,133.0,0.0009765625
465,110100010101101001,133.0,0.0009765625
466,111000011100111001,133.0,0.0009765625
467,100110000111111001,133.0,0.0009765625
468,101000011011100101,133.0,0.0009765625
469,100101000001110101,133.0,0.0009765625
470,011010001110101101,133.0,0.0009765625
471,001100111110101101,133.0,0.0009765625
472,100001111010111101,133.0,0.0009765625
473,001011011010100011,133.0,0.0009765625
474,100010111101100011,133.0,0.0009765625
475,000101011010101011,133.0,0.0009765625
476,100001101100111011,133.0,0.0009765625
477,111100110100110111,133.0,0.0009765625
478,010111110010000000,133.25,0.0009765625
479,111110011010000000,133.25,0.0009765625
480,101011011010011000,133.25,0.0009765625
481,011010001011000100,133.25,0.0009765625
482,000111001111000100,133.25,0.0009765625
483,111110100110010100,133.25,0.0009765625
484,000001110101001100,133.25,0.0009765625
485,111010010100011100,133.25,0.0009765625
486,101100101010011100,133.25,0.0009765625
487,011001110010000010,133.25,0.0009765625
488,111110100000010010,133.25,0.0009765625
489,100011011101010010,133.25,0.0009765625
490,111010001000011010,133.25,0.0009765625
491,011100010111000110,133.25,0.0009765625
492,101100011111010110,133.25,0.0009765625
493,010100111001011110,133.25,0.0009765625
494,100010110101011110,133.25,0.0009765625
495,000011000001000001,133.25,0.0009765625
496,010100100011000001,133.25,0.0009765625
497,011010110010001001,133.25,0.0009765625
498,001100010101001001,133.25,0.0009765625
499,101000110101011001,133.25,0.0009765625
500,000100101110000101,133.25,0.0009765625
501,101010000111010101,133.25,0.0009765625
502,001110110010011101,133.25,0.0009765625
503,010010011001011101,133.25,0.0009765625
