index,bitstring,probability
190,001110100101000100,0.0009765625
191,010000001110011100,0.0009765625
192,001000010101010010,0.0009765625
193,000011000010001010,0.0009765625
194,100011010010001010,0.0009765625
195,001110000001001110,0.0009765625
196,010000100101010001,0.0009765625
197,100010000110010101,0.0009765625
198,000010010001010101,0.0009765625
199,001100001000011101,0.0009765625
200,001000000100010011,0.0009765625
201,110110101000100000,0.0009765625
202,010000100100110000,0.0009765625
203,010001010010110000,0.0009765625
204,110000000110110000,0.0009765625
205,100101110000101000,0.0009765625
206,011001001000101000,0.0009765625
207,001100010001101000,0.0009765625
208,011001001001101000,0.0009765625
209,111001000000100100,0.0009765625
210,101101000000100100,0.0009765625
211,001100000100100100,0.0009765625
212,010001010100100100,0.0009765625
213,010000001100100100,0.0009765625
214,111001000000111100,0.0009765625
215,000110000100100010,0.0009765625
216,110000110110100010,0.0009765625
217,011111100001110010,0.0009765625
218,000000000101110010,0.0009765625
219,010001000000111010,0.0009765625
220,000101000110111010,0.0009765625
221,000001100000100110,0.0009765625
222,000000110000100110,0.0009765625
223,001000110100100110,0.0009765625
224,000000011100100110,0.0009765625
225,000001111100100110,0.0009765625
226,110010001000110110,0.0009765625
227,000100010001110110,0.0009765625
228,001000110000111110,0.0009765625
229,000010000000100001,0.0009765625
230,100011000000100001,0.0009765625
231,000001001000100001,0.0009765625
232,001001001000111001,0.0009765625
233,110010010001100101,0.0009765625
234,011110010000101101,0.0009765625
235,010000011001100011,0.0009765625
236,000100011101100011,0.0009765625
237,010000001011111011,0.0009765625
238,111100010010100111,0.0009765625
239,001110010100110111,0.0009765625
240,000110001010110111,0.0009765625
241,101100111000000000,0.0009765625
242,000111000001000000,0.0009765625
243,000100000111011000,0.0009765625
244,000111001010010100,0.0009765625
245,010000101110010100,0.0009765625
246,011011100000001100,0.0009765625
247,000011010011011100,0.0009765625
248,000011000101000010,0.0009765625
249,100010010100011010,0.0009765625
250,010000001010000110,0.0009765625
251,000110011101000110,0.0009765625
252,100011010000001110,0.0009765625
253,000100111000000001,0.0009765625
254,000100010001000001,0.0009765625
255,001000100010010001,0.0009765625
256,001010100100001001,0.0009765625
257,010000000010001101,0.0009765625
258,000010000111011101,0.0009765625
259,100000010000000011,0.0009765625
260,000000010110001111,0.0009765625
261,000100010000100000,0.0009765625
262,000110001000100000,0.0009765625
263,000100001100100000,0.0009765625
264,010010001100100000,0.0009765625
265,010011010101100000,0.0009765625
266,010100110000110000,0.0009765625
267,110100011010110000,0.0009765625
268,000100001000111000,0.0009765625
269,010011111100111000,0.0009765625
270,001100000010111000,0.0009765625
271,010000110001101100,0.0009765625
272,100101100000110010,0.0019531250000000004
273,000101100000101010,0.0009765625
274,000111001110101010,0.0009765625
275,101100110001101010,0.0009765625
276,000000000101111010,0.0009765625
277,001000100101111010,0.0009765625
278,001110010110100110,0.0009765625
279,010001000011100110,0.0009765625
280,011001000011100110,0.0009765625
281,010000110011100110,0.0009765625
282,001000000000110110,0.0009765625
283,101001000000101110,0.0009765625
284,100000010100101110,0.0019531250000000004
285,101001010100101110,0.0009765625
286,100000011100101110,0.0009765625
287,000011101001101110,0.0009765625
288,000100110010111110,0.0009765625
289,000110110101100001,0.0009765625
290,100001100101110001,0.0009765625
291,111100101101110001,0.0009765625
292,100010001000101001,0.0009765625
293,100011000101101001,0.0009765625
294,001100110110110011,0.0009765625
295,101100110001110011,0.0009765625
296,111100000001111011,0.0009765625
297,110100000000110111,0.0009765625
298,001010010110000000,0.0009765625
299,000000110111000000,0.0009765625
300,000100001110001000,0.0009765625
301,101110001001001000,0.0009765625
302,010001010110000100,0.0009765625
303,010100101010001100,0.0009765625
304,001111100000011100,0.0009765625
305,010011110000011100,0.0009765625
306,011110011000000110,0.0009765625
307,101001010110000110,0.0009765625
308,111100100011000110,0.0009765625
309,010000010000010110,0.0009765625
310,111000010000010110,0.0009765625
311,110010100110010110,0.0009765625
312,010110001000011110,0.0009765625
313,100010000000000001,0.0009765625
314,001010100000000001,0.0009765625
315,001000100010000001,0.0009765625
316,000000111101000001,0.0009765625
317,100110011001001001,0.0009765625
318,010010010000000101,0.0009765625
319,100000000000010011,0.0009765625
320,000010000001000111,0.0009765625
321,000000100010011111,0.0009765625
322,111111110100100000,0.0009765625
323,100100001010110000,0.0009765625
324,011000000101110000,0.0009765625
325,000100001000101000,0.0009765625
326,100100010001101000,0.0009765625
327,000101001101101000,0.0009765625
328,011010000100100100,0.0009765625
329,010101101100101100,0.0009765625
330,010010001001111100,0.0009765625
331,001110011010100010,0.0009765625
332,100101110011100010,0.0009765625
333,100101011111100010,0.0009765625
334,001001101000101010,0.0009765625
335,011101100100101010,0.0009765625
336,000000111001101010,0.0009765625
337,000000100000100110,0.0009765625
338,111101010110100110,0.0009765625
339,000000000111100110,0.0009765625
340,110100000111111110,0.0009765625
341,101001000001100001,0.0009765625
342,110001100111110001,0.0009765625
343,110010110011101001,0.0009765625
